name,move,level_learned_at,power,damage_class,type
chansey,ice-punch,0.0,75.0,physical,ice
mr-mime,ice-punch,0.0,75.0,physical,ice
jynx,ice-punch,31.0,75.0,physical,ice
electabuzz,ice-punch,0.0,75.0,physical,ice
snorlax,ice-punch,0.0,75.0,physical,ice
dragonite,ice-punch,0.0,75.0,physical,ice
mew,ice-punch,0.0,75.0,physical,ice
charmander,thunder-punch,0.0,75.0,physical,electric
mankey,thunder-punch,0.0,75.0,physical,electric
abra,thunder-punch,0.0,75.0,physical,electric
machop,thunder-punch,0.0,75.0,physical,electric
geodude,thunder-punch,0.0,75.0,physical,electric
charmeleon,thunder-punch,0.0,75.0,physical,electric
charizard,thunder-punch,0.0,75.0,physical,electric
pikachu,thunder-punch,0.0,75.0,physical,electric
raichu,thunder-punch,0.0,75.0,physical,electric
nidoqueen,thunder-punch,0.0,75.0,physical,electric
nidoking,thunder-punch,0.0,75.0,physical,electric
clefairy,thunder-punch,0.0,75.0,physical,electric
clefable,thunder-punch,0.0,75.0,physical,electric
jigglypuff,thunder-punch,0.0,75.0,physical,electric
wigglytuff,thunder-punch,0.0,75.0,physical,electric
primeape,thunder-punch,0.0,75.0,physical,electric
kadabra,thunder-punch,0.0,75.0,physical,electric
alakazam,thunder-punch,0.0,75.0,physical,electric
machoke,thunder-punch,0.0,75.0,physical,electric
machamp,thunder-punch,0.0,75.0,physical,electric
graveler,thunder-punch,0.0,75.0,physical,electric
grimer,thunder-punch,0.0,75.0,physical,electric
gastly,thunder-punch,0.0,75.0,physical,electric
drowzee,thunder-punch,0.0,75.0,physical,electric
cubone,thunder-punch,0.0,75.0,physical,electric
lickitung,thunder-punch,0.0,75.0,physical,electric
kangaskhan,thunder-punch,0.0,75.0,physical,electric
mewtwo,thunder-punch,0.0,75.0,physical,electric
muk,thunder-punch,0.0,75.0,physical,electric
haunter,thunder-punch,0.0,75.0,physical,electric
gengar,thunder-punch,0.0,75.0,physical,electric
hypno,thunder-punch,0.0,75.0,physical,electric
marowak,thunder-punch,0.0,75.0,physical,electric
hitmonchan,thunder-punch,43.0,75.0,physical,electric
rhydon,thunder-punch,0.0,75.0,physical,electric
chansey,thunder-punch,0.0,75.0,physical,electric
mr-mime,thunder-punch,0.0,75.0,physical,electric
electabuzz,thunder-punch,42.0,75.0,physical,electric
magmar,thunder-punch,0.0,75.0,physical,electric
snorlax,thunder-punch,0.0,75.0,physical,electric
dragonite,thunder-punch,0.0,75.0,physical,electric
mew,thunder-punch,0.0,75.0,physical,electric
golem,thunder-punch,0.0,75.0,physical,electric
charmander,scratch,1.0,40.0,physical,normal
sandshrew,scratch,1.0,40.0,physical,normal
nidoran-f,scratch,8.0,40.0,physical,normal
paras,scratch,1.0,40.0,physical,normal
diglett,scratch,1.0,40.0,physical,normal
meowth,scratch,1.0,40.0,physical,normal
psyduck,scratch,1.0,40.0,physical,normal
mankey,scratch,1.0,40.0,physical,normal
charmeleon,scratch,1.0,40.0,physical,normal
charizard,scratch,1.0,40.0,physical,normal
sandslash,scratch,1.0,40.0,physical,normal
nidorina,scratch,1.0,40.0,physical,normal
nidoqueen,scratch,1.0,40.0,physical,normal
parasect,scratch,1.0,40.0,physical,normal
dugtrio,scratch,1.0,40.0,physical,normal
persian,scratch,1.0,40.0,physical,normal
golduck,scratch,1.0,40.0,physical,normal
primeape,scratch,1.0,40.0,physical,normal
kabuto,scratch,1.0,40.0,physical,normal
kabutops,scratch,1.0,40.0,physical,normal
krabby,vice-grip,20.0,55.0,physical,normal
pinsir,vice-grip,1.0,55.0,physical,normal
kingler,vice-grip,1.0,55.0,physical,normal
krabby,guillotine,25.0,,physical,normal
pinsir,guillotine,30.0,,physical,normal
kingler,guillotine,25.0,,physical,normal
bulbasaur,razor-wind,0.0,80.0,special,normal
pidgey,razor-wind,0.0,80.0,special,normal
spearow,razor-wind,0.0,80.0,special,normal
zubat,razor-wind,0.0,80.0,special,normal
butterfree,razor-wind,0.0,80.0,special,normal
pidgeotto,razor-wind,0.0,80.0,special,normal
pidgeot,razor-wind,0.0,80.0,special,normal
fearow,razor-wind,0.0,80.0,special,normal
golbat,razor-wind,0.0,80.0,special,normal
venomoth,razor-wind,0.0,80.0,special,normal
farfetchd,razor-wind,0.0,80.0,special,normal
horsea,razor-wind,0.0,80.0,special,normal
scyther,razor-wind,0.0,80.0,special,normal
aerodactyl,razor-wind,0.0,80.0,special,normal
articuno,razor-wind,0.0,80.0,special,normal
zapdos,razor-wind,0.0,80.0,special,normal
moltres,razor-wind,0.0,80.0,special,normal
kabutops,razor-wind,0.0,80.0,special,normal
dragonite,razor-wind,0.0,80.0,special,normal
mew,razor-wind,0.0,80.0,special,normal
bulbasaur,swords-dance,0.0,,status,normal
charmander,swords-dance,0.0,,status,normal
sandshrew,swords-dance,0.0,,status,normal
oddish,swords-dance,0.0,,status,normal
paras,swords-dance,0.0,,status,normal
diglett,swords-dance,0.0,,status,normal
bellsprout,swords-dance,0.0,,status,normal
tentacool,swords-dance,0.0,,status,normal
venusaur,swords-dance,0.0,,status,normal
charmeleon,swords-dance,0.0,,status,normal
charizard,swords-dance,0.0,,status,normal
beedrill,swords-dance,0.0,,status,normal
raticate,swords-dance,1.0,,status,normal
sandslash,swords-dance,0.0,,status,normal
gloom,swords-dance,0.0,,status,normal
vileplume,swords-dance,0.0,,status,normal
parasect,swords-dance,0.0,,status,normal
dugtrio,swords-dance,0.0,,status,normal
weepinbell,swords-dance,0.0,,status,normal
victreebel,swords-dance,0.0,,status,normal
tentacruel,swords-dance,0.0,,status,normal
farfetchd,swords-dance,23.0,,status,normal
doduo,swords-dance,36.0,,status,normal
krabby,swords-dance,0.0,,status,normal
exeggcute,swords-dance,0.0,,status,normal
cubone,swords-dance,0.0,,status,normal
lickitung,swords-dance,0.0,,status,normal
rhyhorn,swords-dance,0.0,,status,normal
tangela,swords-dance,0.0,,status,normal
goldeen,swords-dance,0.0,,status,normal
scyther,swords-dance,35.0,,status,normal
pinsir,swords-dance,54.0,,status,normal
rapidash,swords-dance,0.0,,status,normal
dodrio,swords-dance,38.0,,status,normal
kingler,swords-dance,0.0,,status,normal
exeggutor,swords-dance,0.0,,status,normal
marowak,swords-dance,0.0,,status,normal
hitmonlee,swords-dance,0.0,,status,normal
hitmonchan,swords-dance,0.0,,status,normal
rhydon,swords-dance,0.0,,status,normal
seaking,swords-dance,0.0,,status,normal
kabutops,swords-dance,0.0,,status,normal
mew,swords-dance,0.0,,status,normal
ivysaur,swords-dance,0.0,,status,normal
bulbasaur,cut,0.0,50.0,physical,normal
charmander,cut,0.0,50.0,physical,normal
rattata,cut,0.0,50.0,physical,normal
sandshrew,cut,0.0,50.0,physical,normal
nidoran-f,cut,0.0,50.0,physical,normal
nidoran-m,cut,0.0,50.0,physical,normal
oddish,cut,0.0,50.0,physical,normal
paras,cut,0.0,50.0,physical,normal
diglett,cut,0.0,50.0,physical,normal
meowth,cut,0.0,50.0,physical,normal
bellsprout,cut,0.0,50.0,physical,normal
tentacool,cut,0.0,50.0,physical,normal
venusaur,cut,0.0,50.0,physical,normal
charmeleon,cut,0.0,50.0,physical,normal
charizard,cut,0.0,50.0,physical,normal
beedrill,cut,0.0,50.0,physical,normal
raticate,cut,0.0,50.0,physical,normal
sandslash,cut,0.0,50.0,physical,normal
nidorina,cut,0.0,50.0,physical,normal
nidoqueen,cut,0.0,50.0,physical,normal
nidorino,cut,0.0,50.0,physical,normal
nidoking,cut,0.0,50.0,physical,normal
gloom,cut,0.0,50.0,physical,normal
vileplume,cut,0.0,50.0,physical,normal
parasect,cut,0.0,50.0,physical,normal
dugtrio,cut,0.0,50.0,physical,normal
persian,cut,0.0,50.0,physical,normal
weepinbell,cut,0.0,50.0,physical,normal
victreebel,cut,0.0,50.0,physical,normal
tentacruel,cut,0.0,50.0,physical,normal
farfetchd,cut,0.0,50.0,physical,normal
krabby,cut,0.0,50.0,physical,normal
lickitung,cut,0.0,50.0,physical,normal
tangela,cut,0.0,50.0,physical,normal
kangaskhan,cut,0.0,50.0,physical,normal
scyther,cut,0.0,50.0,physical,normal
pinsir,cut,0.0,50.0,physical,normal
kingler,cut,0.0,50.0,physical,normal
rhydon,cut,0.0,50.0,physical,normal
kabutops,cut,0.0,50.0,physical,normal
dragonite,cut,0.0,50.0,physical,normal
mew,cut,0.0,50.0,physical,normal
ivysaur,cut,0.0,50.0,physical,normal
pidgey,gust,1.0,40.0,special,flying
zubat,gust,0.0,40.0,special,flying
butterfree,gust,28.0,40.0,special,flying
pidgeotto,gust,1.0,40.0,special,flying
pidgeot,gust,1.0,40.0,special,flying
venomoth,gust,31.0,40.0,special,flying
farfetchd,gust,0.0,40.0,special,flying
articuno,gust,1.0,40.0,special,flying
moltres,gust,1.0,40.0,special,flying
charmander,wing-attack,0.0,60.0,physical,flying
pidgey,wing-attack,28.0,60.0,physical,flying
spearow,wing-attack,18.0,60.0,physical,flying
zubat,wing-attack,28.0,60.0,physical,flying
charizard,wing-attack,36.0,60.0,physical,flying
pidgeotto,wing-attack,31.0,60.0,physical,flying
pidgeot,wing-attack,31.0,60.0,physical,flying
fearow,wing-attack,18.0,60.0,physical,flying
golbat,wing-attack,32.0,60.0,physical,flying
doduo,wing-attack,15.0,60.0,physical,flying
scyther,wing-attack,50.0,60.0,physical,flying
aerodactyl,wing-attack,1.0,60.0,physical,flying
moltres,wing-attack,1.0,60.0,physical,flying
dodrio,wing-attack,15.0,60.0,physical,flying
dragonite,wing-attack,55.0,60.0,physical,flying
pidgey,whirlwind,19.0,,status,normal
spearow,whirlwind,0.0,,status,normal
zubat,whirlwind,0.0,,status,normal
butterfree,whirlwind,26.0,,status,normal
pidgeotto,whirlwind,21.0,,status,normal
pidgeot,whirlwind,21.0,,status,normal
fearow,whirlwind,0.0,,status,normal
golbat,whirlwind,0.0,,status,normal
venomoth,whirlwind,0.0,,status,normal
farfetchd,whirlwind,0.0,,status,normal
doduo,whirlwind,0.0,,status,normal
aerodactyl,whirlwind,0.0,,status,normal
articuno,whirlwind,0.0,,status,normal
zapdos,whirlwind,0.0,,status,normal
moltres,whirlwind,0.0,,status,normal
dodrio,whirlwind,0.0,,status,normal
snorlax,whirlwind,0.0,,status,normal
mew,whirlwind,0.0,,status,normal
pidgey,fly,0.0,90.0,physical,flying
spearow,fly,0.0,90.0,physical,flying
zubat,fly,0.0,90.0,physical,flying
charizard,fly,0.0,90.0,physical,flying
pidgeotto,fly,0.0,90.0,physical,flying
pidgeot,fly,0.0,90.0,physical,flying
fearow,fly,0.0,90.0,physical,flying
golbat,fly,0.0,90.0,physical,flying
farfetchd,fly,0.0,90.0,physical,flying
doduo,fly,0.0,90.0,physical,flying
aerodactyl,fly,0.0,90.0,physical,flying
articuno,fly,0.0,90.0,physical,flying
zapdos,fly,0.0,90.0,physical,flying
moltres,fly,0.0,90.0,physical,flying
dodrio,fly,0.0,90.0,physical,flying
dragonite,fly,0.0,90.0,physical,flying
mew,fly,0.0,90.0,physical,flying
bulbasaur,bind,0.0,15.0,physical,normal
ekans,bind,0.0,15.0,physical,normal
bellsprout,bind,0.0,15.0,physical,normal
tentacool,bind,0.0,15.0,physical,normal
venusaur,bind,0.0,15.0,physical,normal
arbok,bind,0.0,15.0,physical,normal
weepinbell,bind,0.0,15.0,physical,normal
victreebel,bind,0.0,15.0,physical,normal
tentacruel,bind,0.0,15.0,physical,normal
onix,bind,15.0,15.0,physical,normal
lickitung,bind,0.0,15.0,physical,normal
tangela,bind,1.0,15.0,physical,normal
pinsir,bind,21.0,15.0,physical,normal
omanyte,bind,0.0,15.0,physical,normal
dratini,bind,0.0,15.0,physical,normal
gyarados,bind,1.0,15.0,physical,normal
omastar,bind,0.0,15.0,physical,normal
dragonair,bind,0.0,15.0,physical,normal
dragonite,bind,0.0,15.0,physical,normal
mew,bind,0.0,15.0,physical,normal
ivysaur,bind,0.0,15.0,physical,normal
ekans,slam,0.0,80.0,physical,normal
bellsprout,slam,42.0,80.0,physical,normal
arbok,slam,36.0,80.0,physical,normal
pikachu,slam,20.0,80.0,physical,normal
raichu,slam,1.0,80.0,physical,normal
weepinbell,slam,49.0,80.0,physical,normal
victreebel,slam,1.0,80.0,physical,normal
seel,slam,0.0,80.0,physical,normal
onix,slam,33.0,80.0,physical,normal
krabby,slam,0.0,80.0,physical,normal
lickitung,slam,31.0,80.0,physical,normal
tangela,slam,45.0,80.0,physical,normal
omanyte,slam,0.0,80.0,physical,normal
dratini,slam,30.0,80.0,physical,normal
kingler,slam,44.0,80.0,physical,normal
dragonair,slam,35.0,80.0,physical,normal
dragonite,slam,35.0,80.0,physical,normal
bulbasaur,vine-whip,13.0,45.0,physical,grass
bellsprout,vine-whip,1.0,45.0,physical,grass
venusaur,vine-whip,1.0,45.0,physical,grass
weepinbell,vine-whip,1.0,45.0,physical,grass
victreebel,vine-whip,1.0,45.0,physical,grass
tangela,vine-whip,29.0,45.0,physical,grass
ivysaur,vine-whip,13.0,45.0,physical,grass
ponyta,stomp,32.0,65.0,physical,normal
slowpoke,stomp,0.0,65.0,physical,normal
krabby,stomp,30.0,65.0,physical,normal
lickitung,stomp,7.0,65.0,physical,normal
rhyhorn,stomp,30.0,65.0,physical,normal
kangaskhan,stomp,0.0,65.0,physical,normal
tauros,stomp,21.0,65.0,physical,normal
rapidash,stomp,1.0,65.0,physical,normal
slowbro,stomp,1.0,65.0,physical,normal
kingler,stomp,34.0,65.0,physical,normal
exeggutor,stomp,28.0,65.0,physical,normal
rhydon,stomp,1.0,65.0,physical,normal
nidoran-f,double-kick,43.0,30.0,physical,fighting
nidoran-m,double-kick,43.0,30.0,physical,fighting
growlithe,double-kick,0.0,30.0,physical,fighting
pikachu,double-kick,9.0,30.0,physical,fighting
nidorina,double-kick,50.0,30.0,physical,fighting
nidoqueen,double-kick,12.0,30.0,physical,fighting
nidorino,double-kick,50.0,30.0,physical,fighting
nidoking,double-kick,12.0,30.0,physical,fighting
ponyta,double-kick,0.0,30.0,physical,fighting
cubone,double-kick,0.0,30.0,physical,fighting
eevee,double-kick,10.0,30.0,physical,fighting
rapidash,double-kick,15.0,30.0,physical,fighting
hitmonlee,double-kick,1.0,30.0,physical,fighting
vaporeon,double-kick,10.0,30.0,physical,fighting
jolteon,double-kick,42.0,30.0,physical,fighting
flareon,double-kick,10.0,30.0,physical,fighting
charmander,mega-kick,0.0,120.0,physical,normal
squirtle,mega-kick,0.0,120.0,physical,normal
psyduck,mega-kick,0.0,120.0,physical,normal
mankey,mega-kick,0.0,120.0,physical,normal
abra,mega-kick,0.0,120.0,physical,normal
machop,mega-kick,0.0,120.0,physical,normal
charmeleon,mega-kick,0.0,120.0,physical,normal
charizard,mega-kick,0.0,120.0,physical,normal
wartortle,mega-kick,0.0,120.0,physical,normal
blastoise,mega-kick,0.0,120.0,physical,normal
pikachu,mega-kick,0.0,120.0,physical,normal
raichu,mega-kick,0.0,120.0,physical,normal
nidoqueen,mega-kick,0.0,120.0,physical,normal
nidoking,mega-kick,0.0,120.0,physical,normal
clefairy,mega-kick,0.0,120.0,physical,normal
clefable,mega-kick,0.0,120.0,physical,normal
jigglypuff,mega-kick,0.0,120.0,physical,normal
wigglytuff,mega-kick,0.0,120.0,physical,normal
golduck,mega-kick,0.0,120.0,physical,normal
primeape,mega-kick,0.0,120.0,physical,normal
poliwhirl,mega-kick,0.0,120.0,physical,normal
poliwrath,mega-kick,0.0,120.0,physical,normal
kadabra,mega-kick,0.0,120.0,physical,normal
alakazam,mega-kick,0.0,120.0,physical,normal
machoke,mega-kick,0.0,120.0,physical,normal
machamp,mega-kick,0.0,120.0,physical,normal
drowzee,mega-kick,0.0,120.0,physical,normal
cubone,mega-kick,0.0,120.0,physical,normal
lickitung,mega-kick,0.0,120.0,physical,normal
kangaskhan,mega-kick,0.0,120.0,physical,normal
mewtwo,mega-kick,0.0,120.0,physical,normal
slowbro,mega-kick,0.0,120.0,physical,normal
gengar,mega-kick,0.0,120.0,physical,normal
hypno,mega-kick,0.0,120.0,physical,normal
marowak,mega-kick,0.0,120.0,physical,normal
hitmonlee,mega-kick,53.0,120.0,physical,normal
hitmonchan,mega-kick,0.0,120.0,physical,normal
rhydon,mega-kick,0.0,120.0,physical,normal
chansey,mega-kick,0.0,120.0,physical,normal
mr-mime,mega-kick,0.0,120.0,physical,normal
jynx,mega-kick,0.0,120.0,physical,normal
electabuzz,mega-kick,0.0,120.0,physical,normal
magmar,mega-kick,0.0,120.0,physical,normal
kabutops,mega-kick,0.0,120.0,physical,normal
snorlax,mega-kick,0.0,120.0,physical,normal
dragonite,mega-kick,0.0,120.0,physical,normal
mew,mega-kick,0.0,120.0,physical,normal
golem,mega-kick,0.0,120.0,physical,normal
doduo,jump-kick,40.0,100.0,physical,fighting
dodrio,jump-kick,43.0,100.0,physical,fighting
hitmonlee,jump-kick,38.0,100.0,physical,fighting
machop,rolling-kick,0.0,60.0,physical,fighting
hitmonlee,rolling-kick,33.0,60.0,physical,fighting
pidgey,sand-attack,5.0,,status,ground
sandshrew,sand-attack,10.0,,status,ground
diglett,sand-attack,24.0,,status,ground
geodude,sand-attack,3.0,,status,ground
pidgeotto,sand-attack,1.0,,status,ground
pidgeot,sand-attack,1.0,,status,ground
sandslash,sand-attack,1.0,,status,ground
dugtrio,sand-attack,24.0,,status,ground
graveler,sand-attack,1.0,,status,ground
farfetchd,sand-attack,1.0,,status,ground
rhyhorn,sand-attack,1.0,,status,ground
eevee,sand-attack,1.0,,status,ground
omanyte,sand-attack,10.0,,status,ground
kabuto,sand-attack,28.0,,status,ground
rhydon,sand-attack,1.0,,status,ground
vaporeon,sand-attack,1.0,,status,ground
jolteon,sand-attack,1.0,,status,ground
flareon,sand-attack,1.0,,status,ground
omastar,sand-attack,1.0,,status,ground
kabutops,sand-attack,28.0,,status,ground
golem,sand-attack,1.0,,status,ground
bulbasaur,headbutt,0.0,70.0,physical,normal
charmander,headbutt,0.0,70.0,physical,normal
squirtle,headbutt,0.0,70.0,physical,normal
pidgey,headbutt,0.0,70.0,physical,normal
rattata,headbutt,0.0,70.0,physical,normal
spearow,headbutt,0.0,70.0,physical,normal
ekans,headbutt,0.0,70.0,physical,normal
sandshrew,headbutt,0.0,70.0,physical,normal
nidoran-f,headbutt,0.0,70.0,physical,normal
nidoran-m,headbutt,0.0,70.0,physical,normal
vulpix,headbutt,0.0,70.0,physical,normal
zubat,headbutt,0.0,70.0,physical,normal
oddish,headbutt,0.0,70.0,physical,normal
paras,headbutt,0.0,70.0,physical,normal
venonat,headbutt,0.0,70.0,physical,normal
diglett,headbutt,0.0,70.0,physical,normal
meowth,headbutt,0.0,70.0,physical,normal
psyduck,headbutt,0.0,70.0,physical,normal
mankey,headbutt,0.0,70.0,physical,normal
growlithe,headbutt,0.0,70.0,physical,normal
poliwag,headbutt,0.0,70.0,physical,normal
abra,headbutt,0.0,70.0,physical,normal
machop,headbutt,0.0,70.0,physical,normal
bellsprout,headbutt,0.0,70.0,physical,normal
