name,generation,base_experience,height,weight,abilities,type,type-slot,hp,attack,defense,special-attack,special-defense,speed,moves,stat-total
dodrio,1,165,18,852,3,normal,1,60,110,70,60,60,110,33,470
dodrio,1,165,18,852,3,flying,2,60,110,70,60,60,110,33,470
chansey,1,395,11,346,3,normal,1,250,5,5,35,105,50,53,450
snorlax,1,189,21,4600,3,normal,1,160,110,65,65,110,30,51,540
mankey,1,61,5,280,3,fighting,1,40,80,35,35,45,70,39,305
machop,1,61,8,195,3,fighting,1,70,80,50,35,35,35,35,305
primeape,1,159,10,320,3,fighting,1,65,105,60,60,70,95,39,455
poliwrath,1,255,13,540,3,fighting,2,90,95,95,70,90,70,45,510
poliwrath,1,255,13,540,3,water,1,90,95,95,70,90,70,45,510
machoke,1,142,15,705,3,fighting,1,80,100,70,50,60,45,33,405
machamp,1,253,16,1300,3,fighting,1,90,130,80,65,85,55,34,505
hitmonlee,1,159,15,498,3,fighting,1,50,120,53,35,110,87,31,455
hitmonchan,1,159,14,502,3,fighting,1,50,105,79,35,110,76,34,455
zubat,1,49,8,75,2,flying,2,40,45,35,30,40,55,27,245
zubat,1,49,8,75,2,poison,1,40,45,35,30,40,55,27,245
charizard,1,267,17,905,2,flying,2,78,84,78,109,85,100,46,534
charizard,1,267,17,905,2,fire,1,78,84,78,109,85,100,46,534
butterfree,1,198,11,320,2,flying,2,60,45,50,90,80,70,32,395
butterfree,1,198,11,320,2,bug,1,60,45,50,90,80,70,32,395
golbat,1,159,16,550,2,flying,2,75,80,70,65,75,90,27,455
golbat,1,159,16,550,2,poison,1,75,80,70,65,75,90,27,455
scyther,1,100,15,560,3,flying,2,70,110,80,55,80,105,24,500
scyther,1,100,15,560,3,bug,1,70,110,80,55,80,105,24,500
aerodactyl,1,180,18,590,3,flying,2,80,105,65,60,75,130,29,515
aerodactyl,1,180,18,590,3,rock,1,80,105,65,60,75,130,29,515
articuno,1,290,17,554,2,flying,2,90,85,100,95,125,85,29,580
articuno,1,290,17,554,2,ice,1,90,85,100,95,125,85,29,580
zapdos,1,290,16,526,2,flying,2,90,90,85,125,90,100,28,580
zapdos,1,290,16,526,2,electric,1,90,90,85,125,90,100,28,580
moltres,1,290,20,600,2,flying,2,90,100,90,125,85,90,28,580
moltres,1,290,20,600,2,fire,1,90,100,90,125,85,90,28,580
gyarados,1,189,65,2350,2,flying,2,95,125,79,60,100,81,36,540
gyarados,1,189,65,2350,2,water,1,95,125,79,60,100,81,36,540
dragonite,1,300,22,2100,2,flying,2,91,134,95,100,100,80,53,600
dragonite,1,300,22,2100,2,dragon,1,91,134,95,100,100,80,53,600
bulbasaur,1,64,7,69,2,poison,2,45,49,49,65,65,45,35,318
bulbasaur,1,64,7,69,2,grass,1,45,49,49,65,65,45,35,318
weedle,1,39,3,32,2,poison,2,40,35,30,20,20,50,2,195
weedle,1,39,3,32,2,bug,1,40,35,30,20,20,50,2,195
ekans,1,58,20,69,3,poison,1,35,60,44,40,54,55,30,288
nidoran-f,1,55,4,70,3,poison,1,55,47,52,40,40,41,34,275
nidoran-m,1,55,5,90,3,poison,1,46,57,40,40,40,50,37,273
oddish,1,64,5,54,2,poison,2,45,50,55,75,65,30,25,320
oddish,1,64,5,54,2,grass,1,45,50,55,75,65,30,25,320
venonat,1,61,10,300,3,poison,2,60,55,50,40,55,45,31,305
venonat,1,61,10,300,3,bug,1,60,55,50,40,55,45,31,305
bellsprout,1,60,7,40,2,poison,2,50,75,35,70,30,40,27,300
bellsprout,1,60,7,40,2,grass,1,50,75,35,70,30,40,27,300
tentacool,1,67,9,455,3,poison,2,40,40,35,50,100,70,36,335
tentacool,1,67,9,455,3,water,1,40,40,35,50,100,70,36,335
venusaur,1,263,20,1000,2,poison,2,80,82,83,100,100,80,35,525
venusaur,1,263,20,1000,2,grass,1,80,82,83,100,100,80,35,525
kakuna,1,72,6,100,1,poison,2,45,25,50,25,25,35,2,205
kakuna,1,72,6,100,1,bug,1,45,25,50,25,25,35,2,205
beedrill,1,178,10,295,2,poison,2,65,90,40,45,80,75,28,395
beedrill,1,178,10,295,2,bug,1,65,90,40,45,80,75,28,395
arbok,1,157,35,650,3,poison,1,60,95,69,65,79,80,30,448
nidorina,1,128,8,200,3,poison,1,70,62,67,55,55,56,35,365
nidoqueen,1,253,13,600,3,poison,1,90,92,87,75,85,76,52,505
nidoqueen,1,253,13,600,3,ground,2,90,92,87,75,85,76,52,505
nidorino,1,128,9,195,3,poison,1,61,72,57,55,55,65,35,365
nidoking,1,253,14,620,3,poison,1,81,102,77,85,75,85,53,505
nidoking,1,253,14,620,3,ground,2,81,102,77,85,75,85,53,505
gloom,1,138,8,86,2,poison,2,60,65,70,85,75,40,25,395
gloom,1,138,8,86,2,grass,1,60,65,70,85,75,40,25,395
vileplume,1,245,12,186,2,poison,2,75,80,85,110,90,50,27,490
vileplume,1,245,12,186,2,grass,1,75,80,85,110,90,50,27,490
venomoth,1,158,15,125,3,poison,2,70,65,60,90,75,90,37,450
venomoth,1,158,15,125,3,bug,1,70,65,60,90,75,90,37,450
weepinbell,1,137,10,64,2,poison,2,65,90,50,85,45,55,29,390
weepinbell,1,137,10,64,2,grass,1,65,90,50,85,45,55,29,390
victreebel,1,221,17,155,2,poison,2,80,105,65,100,70,70,30,490
victreebel,1,221,17,155,2,grass,1,80,105,65,100,70,70,30,490
tentacruel,1,180,16,550,3,poison,2,80,70,65,80,120,100,36,515
tentacruel,1,180,16,550,3,water,1,80,70,65,80,120,100,36,515
grimer,1,65,9,300,3,poison,1,80,80,50,40,50,25,36,325
gastly,1,62,13,1,1,poison,2,30,35,30,100,35,80,27,310
gastly,1,62,13,1,1,ghost,1,30,35,30,100,35,80,27,310
koffing,1,68,6,10,3,poison,1,40,65,95,60,45,35,26,340
muk,1,175,12,300,3,poison,1,105,105,75,65,100,50,37,500
haunter,1,142,16,1,1,poison,2,45,50,45,115,55,95,27,405
haunter,1,142,16,1,1,ghost,1,45,50,45,115,55,95,27,405
gengar,1,250,15,405,1,poison,2,60,65,60,130,75,110,40,500
gengar,1,250,15,405,1,ghost,1,60,65,60,130,75,110,40,500
weezing,1,172,12,95,3,poison,1,65,90,120,85,70,60,26,490
ivysaur,1,142,10,130,2,poison,2,60,62,63,80,80,60,33,405
ivysaur,1,142,10,130,2,grass,1,60,62,63,80,80,60,33,405
sandshrew,1,60,6,120,2,ground,1,50,75,85,20,30,40,34,300
diglett,1,53,2,8,3,ground,1,10,55,25,35,45,95,24,265
geodude,1,60,4,200,3,ground,2,40,80,100,30,30,20,32,300
geodude,1,60,4,200,3,rock,1,40,80,100,30,30,20,32,300
sandslash,1,158,10,295,2,ground,1,75,100,110,45,55,65,36,450
dugtrio,1,149,7,333,3,ground,1,35,100,50,50,70,120,26,425
graveler,1,137,10,1050,3,ground,2,55,95,115,45,45,35,32,390
graveler,1,137,10,1050,3,rock,1,55,95,115,45,45,35,32,390
onix,1,77,88,2100,3,ground,2,35,45,160,30,45,70,27,385
onix,1,77,88,2100,3,rock,1,35,45,160,30,45,70,27,385
cubone,1,64,4,65,3,ground,1,50,50,95,40,50,35,42,320
rhyhorn,1,69,10,1150,3,ground,1,80,85,95,30,30,25,36,345
rhyhorn,1,69,10,1150,3,rock,2,80,85,95,30,30,25,36,345
marowak,1,149,10,450,3,ground,1,60,80,110,50,80,45,42,425
rhydon,1,170,19,1200,3,ground,1,105,130,120,45,45,40,49,485
rhydon,1,170,19,1200,3,rock,2,105,130,120,45,45,40,49,485
golem,1,223,14,3000,3,ground,2,80,120,130,55,65,45,35,495
golem,1,223,14,3000,3,rock,1,80,120,130,55,65,45,35,495
omanyte,1,71,4,75,3,rock,1,35,40,100,90,55,35,33,355
omanyte,1,71,4,75,3,water,2,35,40,100,90,55,35,33,355
kabuto,1,71,5,115,3,rock,1,30,80,90,55,45,55,33,355
kabuto,1,71,5,115,3,water,2,30,80,90,55,45,55,33,355
omastar,1,173,10,350,3,rock,1,70,60,125,115,70,55,36,495
omastar,1,173,10,350,3,water,2,70,60,125,115,70,55,36,495
kabutops,1,173,13,405,3,rock,1,60,115,105,65,70,80,41,495
kabutops,1,173,13,405,3,water,2,60,115,105,65,70,80,41,495
caterpie,1,39,3,29,2,bug,1,45,30,35,20,20,45,2,195
paras,1,57,3,54,3,bug,1,35,70,55,45,55,25,36,285
paras,1,57,3,54,3,grass,2,35,70,55,45,55,25,36,285
metapod,1,72,7,99,1,bug,1,50,20,55,25,25,30,2,205
parasect,1,142,10,295,3,bug,1,60,95,80,60,80,30,35,405
parasect,1,142,10,295,3,grass,2,60,95,80,60,80,30,35,405
pinsir,1,175,15,550,3,bug,1,65,125,100,55,70,85,30,500
charmander,1,62,6,85,2,fire,1,39,52,43,60,50,65,41,309
vulpix,1,60,6,99,2,fire,1,38,41,40,50,65,65,27,299
growlithe,1,70,7,190,3,fire,1,55,70,45,70,50,60,27,350
charmeleon,1,142,11,190,2,fire,1,58,64,58,80,65,80,40,405
ninetales,1,177,11,199,2,fire,1,73,76,75,81,100,100,31,505
arcanine,1,194,19,1550,3,fire,1,90,110,80,100,80,95,28,555
ponyta,1,82,10,300,3,fire,1,50,85,55,65,65,90,31,410
rapidash,1,175,17,950,3,fire,1,65,100,70,80,80,105,34,500
magmar,1,173,13,445,2,fire,1,65,95,57,100,85,93,37,495
flareon,1,184,9,250,2,fire,1,65,130,60,95,110,65,33,525
squirtle,1,63,5,90,2,water,1,44,48,65,50,64,43,38,314
psyduck,1,64,8,196,3,water,1,50,52,48,65,50,55,45,320
poliwag,1,60,6,124,3,water,1,40,50,40,40,40,90,33,300
wartortle,1,142,10,225,2,water,1,59,63,80,65,80,58,37,405
blastoise,1,265,16,855,2,water,1,79,83,100,85,105,78,41,530
golduck,1,175,17,766,3,water,1,80,82,78,95,80,85,45,500
poliwhirl,1,135,10,200,3,water,1,65,65,65,50,50,90,43,385
slowpoke,1,63,12,360,3,water,1,90,65,65,40,40,15,43,315
slowpoke,1,63,12,360,3,psychic,2,90,65,65,40,40,15,43,315
seel,1,65,11,900,3,water,1,65,45,55,45,70,45,29,325
shellder,1,61,3,40,3,water,1,30,65,100,45,25,40,32,305
krabby,1,65,4,65,3,water,1,30,105,90,25,25,50,33,325
horsea,1,59,4,80,3,water,1,30,40,70,70,25,60,29,295
goldeen,1,64,6,150,3,water,1,45,67,60,35,50,63,31,320
staryu,1,68,8,345,3,water,1,30,45,55,70,55,85,38,340
magikarp,1,40,9,100,2,water,1,20,10,55,15,20,80,3,200
lapras,1,187,25,2200,3,water,1,130,85,80,85,95,60,39,535
lapras,1,187,25,2200,3,ice,2,130,85,80,85,95,60,39,535
slowbro,1,172,16,785,3,water,1,95,75,110,100,80,30,52,490
slowbro,1,172,16,785,3,psychic,2,95,75,110,100,80,30,52,490
dewgong,1,166,17,1200,3,water,1,90,70,80,70,95,70,28,475
dewgong,1,166,17,1200,3,ice,2,90,70,80,70,95,70,28,475
cloyster,1,184,15,1325,3,water,1,50,95,180,85,45,70,37,525
cloyster,1,184,15,1325,3,ice,2,50,95,180,85,45,70,37,525
kingler,1,166,13,600,3,water,1,55,130,115,50,50,75,33,475
seadra,1,154,12,250,3,water,1,55,65,95,95,45,85,28,440
seaking,1,158,13,390,3,water,1,80,92,65,65,80,68,31,450
starmie,1,182,11,800,3,water,1,60,75,85,100,85,115,38,520
starmie,1,182,11,800,3,psychic,2,60,75,85,100,85,115,38,520
vaporeon,1,184,10,290,2,water,1,130,65,60,110,95,65,38,525
exeggcute,1,65,4,25,2,grass,1,60,40,80,60,45,40,33,325
exeggcute,1,65,4,25,2,psychic,2,60,40,80,60,45,40,33,325
tangela,1,87,10,350,3,grass,1,65,55,115,100,40,60,31,435
exeggutor,1,186,20,1200,2,grass,1,95,95,85,125,75,55,36,530
exeggutor,1,186,20,1200,2,psychic,2,95,95,85,125,75,55,36,530
pikachu,1,112,4,60,2,electric,1,35,55,40,50,50,90,37,320
raichu,1,243,8,300,2,electric,1,60,90,55,90,80,110,37,485
magnemite,1,65,3,60,3,electric,1,25,35,70,95,55,45,25,325
voltorb,1,66,5,104,3,electric,1,40,30,50,55,55,100,25,330
magneton,1,163,10,600,3,electric,1,50,60,95,120,70,70,27,465
electrode,1,172,12,666,3,electric,1,60,50,70,80,80,150,27,490
electabuzz,1,172,11,300,2,electric,1,65,83,57,95,85,105,38,490
jolteon,1,184,8,245,2,electric,1,65,65,60,110,95,130,35,525
abra,1,62,9,195,3,psychic,1,25,20,15,105,55,90,33,310
kadabra,1,140,13,565,3,psychic,1,40,35,30,120,70,105,38,400
alakazam,1,250,15,480,3,psychic,1,55,50,45,135,95,120,40,500
drowzee,1,66,10,324,3,psychic,1,60,48,45,43,90,42,42,328
mewtwo,1,340,20,1220,2,psychic,1,106,110,90,154,90,130,57,680
hypno,1,169,16,756,3,psychic,1,85,73,70,73,115,67,44,483
mr-mime,1,161,13,545,3,psychic,1,40,45,65,100,120,90,41,460
jynx,1,159,14,406,3,psychic,2,65,50,35,115,95,95,39,455
jynx,1,159,14,406,3,ice,1,65,50,35,115,95,95,39,455
mew,1,300,4,40,1,psychic,1,100,100,100,100,100,100,85,600
dratini,1,60,18,33,2,dragon,1,41,64,45,50,50,50,38,300
dragonair,1,147,40,165,2,dragon,1,61,84,65,70,70,70,37,420
